"","Sample_Number","Year","Month","Date","Site","Number_of_Samples","Sample_Replicate","Wet_Weight","Dry_Weight","Ratio_Dry_to_Wet","Analytical_Dry_Weight","Carbon_%","Hydrogen_%","Nitrogen_%","Carbon_Nitrogen_Ratio","Notes"
"30",808,2002,9,2002-09-05,"MOHK",10,2,3.99,0.33,0.08,2511,31.85,4.93,2.29,13.91,""
"31",819,2002,9,2002-09-10,"ABUR",10,1,4.74,0.58,0.12,2396,30.82,4.52,2.56,12.04,""
"32",819,2002,9,2002-09-10,"ABUR",10,2,4.74,0.58,0.12,2466,30.76,4.33,2.43,12.65,""
"33",857,2002,10,2002-10-09,"AQUE",14,1,6.1,0.52,0.09,2672,26.38,3.9,1.46,18.13,""
"34",857,2002,10,2002-10-09,"AQUE",14,2,6.1,0.52,0.09,2290,25.74,3.25,1.39,18.47,""
"35",845,2002,10,2002-10-10,"MOHK",10,1,4.58,0.37,0.08,2089,27.5,4,0.97,28.41,""
"36",845,2002,10,2002-10-10,"MOHK",10,2,4.58,0.37,0.08,2405,27.46,4.04,0.98,28.12,""
"37",856,2002,10,2002-10-11,"ABUR",10,1,5.76,0.44,0.08,2508,26.32,3.7,2.82,9.32,""
"38",856,2002,10,2002-10-11,"ABUR",10,2,5.76,0.44,0.08,2025,26.23,3.39,2.88,9.12,""
"39",896,2002,11,2002-11-20,"AQUE",14,1,5.01,0.47,0.09,2463,28.76,4.56,3.24,8.87,""
"40",896,2002,11,2002-11-20,"AQUE",14,2,5.01,0.47,0.09,2128,29.02,4.3,3.26,8.91,""
"41",881,2002,11,2002-11-21,"ABUR",9,1,3.75,0.36,0.1,2694,27.74,4.21,2.7,10.26,""
"42",881,2002,11,2002-11-21,"ABUR",9,2,3.75,0.36,0.1,2295,28.51,4.15,2.75,10.36,""
"43",907,2002,11,2002-11-22,"MOHK",10,1,3.98,0.37,0.09,2016,27.98,4.19,2.85,9.81,""
"44",907,2002,11,2002-11-22,"MOHK",10,2,3.98,0.37,0.09,2003,28.83,4.16,2.95,9.78,""
"45",909,2002,12,2002-12-06,"AQUE",10,1,5.24,0.39,0.07,2136,27.19,3.39,2.5,10.86,""
"46",909,2002,12,2002-12-06,"AQUE",10,2,5.24,0.39,0.07,2068,27.34,3.75,2.52,10.86,""
"47",908,2002,12,2002-12-09,"ABUR",10,1,4.09,0.34,0.08,2433,27.46,3.52,2.29,11.99,""
"48",908,2002,12,2002-12-09,"ABUR",10,2,4.09,0.34,0.08,2045,27.56,3.97,2.3,11.98,""
"49",910,2002,12,2002-12-10,"MOHK",10,1,3.5,0.28,0.08,2248,27.23,3.43,2.85,9.55,""
"50",910,2002,12,2002-12-10,"MOHK",10,2,3.5,0.28,0.08,2127,26.83,3.97,2.79,9.6,""
"51",2,2003,1,2003-01-14,"AQUE",10,1,3.99,0.33,0.08,2320,26.08,3.35,2.58,10.1,""
"52",2,2003,1,2003-01-14,"AQUE",10,2,3.99,0.33,0.08,2390,26.26,3.64,2.58,10.18,""
"53",1,2003,1,2003-01-16,"ABUR",10,1,6.13,0.56,0.09,2470,26.1,3.33,2.4,10.9,"formatting note"
"54",1,2003,1,2003-01-16,"ABUR",10,2,6.13,0.56,0.09,2195,26.17,3.68,2.36,11.08,""
"55",3,2003,1,2003-01-16,"MOHK",10,1,3.73,0.3,0.08,2293,25.09,3.07,2.28,10.98,""
"56",3,2003,1,2003-01-16,"MOHK",10,2,3.73,0.3,0.08,2171,25.37,3.47,2.34,10.86,""
"57",4,2003,2,2003-02-18,"ABUR",10,1,3.29,0.25,0.07,2421,29.15,3.61,1.93,15.07,""
"58",4,2003,2,2003-02-18,"ABUR",10,2,3.29,0.25,0.07,2153,29.03,4.16,1.94,14.94,""
"59",6,2003,2,2003-02-18,"MOHK",10,1,2.96,0.2,0.07,2424,26.85,3.38,2,13.44,""
"60",6,2003,2,2003-02-18,"MOHK",10,2,2.96,0.2,0.07,2231,26.68,3.5,1.94,13.78,""
"61",5,2003,2,2003-02-21,"AQUE",10,1,4.23,0.31,0.07,2290,27.37,3.64,1.82,15.06,""
"62",5,2003,2,2003-02-21,"AQUE",10,2,4.23,0.31,0.07,2423,27.51,3.84,1.79,15.35,""
"63",8,2003,3,2003-03-05,"AQUE",10,1,4.25,0.3,0.07,2159,27.51,3.68,2.74,10.04,""
"64",8,2003,3,2003-03-05,"AQUE",10,2,4.25,0.3,0.07,2278,27.33,3.73,2.78,9.84,""
"65",9,2003,3,2003-03-05,"MOHK",10,1,6.21,0.36,0.06,2175,34.66,4.54,2.68,12.93,""
"66",9,2003,3,2003-03-05,"MOHK",10,2,6.21,0.36,0.06,2438,34.53,4.71,2.75,12.55,""
"67",7,2003,3,2003-03-06,"ABUR",10,1,3.94,0.38,0.1,2178,32.37,4.77,2.02,16.02,""
"68",7,2003,3,2003-03-06,"ABUR",10,2,3.94,0.38,0.1,2259,32.62,4.81,2.07,15.79,""
"69",12,2003,4,2003-04-08,"MOHK",12,1,4.84,0.49,0.1,2043,30.81,4.38,3.28,9.39,""
"70",12,2003,4,2003-04-08,"MOHK",12,2,4.84,0.49,0.1,2196,30.61,4.44,3.39,9.03,""
"71",10,2003,4,2003-04-10,"ABUR",10,1,4.16,-99999,-99999,2126,28.61,4.05,3.05,9.38,"missing dry wt"
"72",10,2003,4,2003-04-10,"ABUR",10,2,4.16,-99999,-99999,2261,28.88,4.2,3.13,9.21,"missing dry wt"
"73",11,2003,4,2003-04-15,"AQUE",10,1,4.32,-99999,-99999,2465,34.98,4.94,4.16,8.41,"missing dry wt"
"74",11,2003,4,2003-04-15,"AQUE",10,2,4.32,-99999,-99999,2112,35.55,5.02,4.2,8.46,"missing dry wt"
"75",15,2003,5,2003-05-06,"MOHK",10,1,1.62,0.13,0.08,2253,42.5,5.39,3.63,11.71,""
"76",15,2003,5,2003-05-06,"MOHK",10,2,1.62,0.13,0.08,2208,42.43,5.55,3.63,11.68,""
"77",13,2003,5,2003-05-12,"ABUR",10,1,4.28,0.28,0.07,2170,33.76,4.73,3.53,9.56,""
"78",13,2003,5,2003-05-12,"ABUR",10,2,4.28,0.28,0.07,2138,33.41,4.9,3.55,9.42,""
"79",14,2003,5,2003-05-13,"AQUE",10,1,3.94,0.21,0.05,2188,36.45,4.84,3.17,11.5,""
"80",14,2003,5,2003-05-13,"AQUE",10,2,3.94,0.21,0.05,2159,36.78,5,3.22,11.43,""
"81",16,2003,6,2003-06-03,"AQUE",10,1,3.66,0.35,0.1,2211,28.86,3.97,3.73,7.73,""
"82",16,2003,6,2003-06-03,"AQUE",10,2,3.66,0.35,0.1,2174,28.26,4.17,3.74,7.57,""
"83",17,2003,6,2003-06-10,"MOHK",9,1,3.12,0.31,0.1,2258,32.01,4.71,2.27,14.1,""
"84",17,2003,6,2003-06-10,"MOHK",9,2,3.12,0.31,0.1,2054,31.85,4.77,2.13,14.94,""
"85",18,2003,6,2003-06-11,"ABUR",10,1,4.39,0.29,0.07,2075,35.22,5.04,4.19,8.41,""
"86",18,2003,6,2003-06-11,"ABUR",10,2,4.39,0.29,0.07,2163,34.86,5.04,4.13,8.44,""
"87",20,2003,7,2003-07-02,"AQUE",15,1,7.03,0.54,0.08,2149,33.78,5.21,3.84,8.81,""
"88",20,2003,7,2003-07-02,"AQUE",15,2,7.03,0.54,0.08,2269,33.59,5.22,3.79,8.86,""
"89",19,2003,7,2003-07-07,"ABUR",15,1,7.26,0.78,0.11,2282,36.09,5.95,1.74,20.69,""
"90",19,2003,7,2003-07-07,"ABUR",15,2,7.26,0.78,0.11,2362,35.59,6.05,1.72,20.71,""
"91",21,2003,7,2003-07-15,"MOHK",15,1,6.4,0.36,0.06,2365,34.72,4.88,2.31,15.01,""
"92",21,2003,7,2003-07-15,"MOHK",15,2,6.4,0.36,0.06,2339,34.38,4.75,2.25,15.3,""
"93",22,2003,8,2003-08-05,"ABUR",15,1,5.42,0.43,0.08,2559,32.98,5,2.65,12.47,""
"94",22,2003,8,2003-08-05,"ABUR",15,2,5.42,0.43,0.08,2318,34.42,5.08,2.71,12.68,""
"95",24,2003,8,2003-08-06,"MOHK",15,1,5.03,0.4,0.08,2449,35.15,5,3.61,9.74,""
"96",24,2003,8,2003-08-06,"MOHK",15,2,5.03,0.4,0.08,2165,32.41,4.54,3.28,9.89,""
"97",23,2003,8,2003-08-08,"AQUE",15,1,6.38,0.47,0.07,2373,35.3,5.33,3.58,9.86,""
"98",23,2003,8,2003-08-08,"AQUE",15,2,6.38,0.47,0.07,2088,35.65,5.31,3.58,9.95,""
"99",25,2003,9,2003-09-02,"ABUR",15,1,4.85,0.32,0.07,2492,34.23,4.74,3.57,9.59,""
"100",25,2003,9,2003-09-02,"ABUR",15,2,4.85,0.32,0.07,2215,34.94,4.82,3.6,9.69,""
"101",26,2003,9,2003-09-04,"AQUE",15,1,6.21,0.48,0.08,2246,35.99,5.36,3.54,10.15,""
"102",26,2003,9,2003-09-04,"AQUE",15,2,6.21,0.48,0.08,2108,35.96,5.34,3.56,10.11,""
"103",27,2003,9,2003-09-05,"MOHK",15,1,6.04,0.38,0.06,1975,36.58,5.06,3.36,10.89,""
"104",27,2003,9,2003-09-05,"MOHK",15,2,6.04,0.38,0.06,2420,36.77,5.14,3.38,10.87,""
"109",28,2003,10,2003-10-01,"ABUR",15,1,2.5,0.39,0.15,2437,38.53,5.47,2.9,13.27,""
"110",28,2003,10,2003-10-01,"ABUR",15,2,2.5,0.39,0.15,2152,38.55,5.44,2.96,13.02,""
"111",33,2003,11,2003-11-06,"AQUE",15,1,5.04,0.54,0.11,2089,29.43,4.65,3.21,9.16,""
"112",33,2003,11,2003-11-06,"AQUE",15,2,5.04,0.54,0.11,2191,30.28,4.68,3.31,9.14,""
"113",31,2003,11,2003-11-13,"ABUR",15,1,7.98,0.59,0.07,2132,29.49,4.83,2.02,14.57,""
"114",31,2003,11,2003-11-13,"ABUR",15,2,7.98,0.59,0.07,2370,29.29,4.68,2,14.65,""
"115",32,2003,11,2003-11-14,"MOHK",15,1,8.79,0.64,0.07,2076,34.03,5.25,1.99,17.14,""
"116",32,2003,11,2003-11-14,"MOHK",15,2,8.79,0.64,0.07,2415,34.05,5.24,1.98,17.19,""
"117",34,2003,12,2003-12-03,"MOHK",15,1,6.53,0.53,0.08,2473,27.44,4.24,1.91,14.36,""
"118",34,2003,12,2003-12-03,"MOHK",15,2,6.53,0.53,0.08,2257,27.56,4.27,1.89,14.58,""
"119",36,2003,12,2003-12-05,"ABUR",15,1,6.91,0.55,0.08,2395,29.35,4.52,3.5,8.38,""
"120",36,2003,12,2003-12-05,"ABUR",15,2,6.91,0.55,0.08,2245,28.77,4.4,3.43,8.39,""
"121",35,2003,12,2003-12-08,"AQUE",15,1,7.51,0.61,0.08,2260,28.01,4.37,1.89,14.8,""
"122",35,2003,12,2003-12-08,"AQUE",15,2,7.51,0.61,0.08,2124,28.54,4.44,1.88,15.15,""
"123",38,2004,1,2004-01-07,"AQUE",15,1,5.89,0.52,0.09,2273,26.67,3.59,2.84,9.39,""
"124",38,2004,1,2004-01-07,"AQUE",15,2,5.89,0.52,0.09,2536,26.99,3.66,2.9,9.3,""
"125",37,2004,1,2004-01-09,"ABUR",15,1,6.07,0.42,0.07,2143,28.04,3.77,3.27,8.58,""
"126",37,2004,1,2004-01-09,"ABUR",15,2,6.07,0.42,0.07,2157,27.5,3.77,3.22,8.55,""
"129",42,2004,2,2004-02-02,"MOHK",15,1,8.26,0.55,0.07,2402,28.33,3.79,2.85,9.96,""
"130",42,2004,2,2004-02-02,"MOHK",15,2,8.26,0.55,0.07,2441,28.64,3.85,2.91,9.84,""
"131",40,2004,2,2004-02-06,"ABUR",15,1,8.06,0.59,0.07,2564,27.81,3.93,2.98,9.34,""
"132",40,2004,2,2004-02-06,"ABUR",15,2,8.06,0.59,0.07,2321,28.02,3.93,3.01,9.3,""
"133",41,2004,2,2004-02-12,"AQUE",15,1,7.26,0.5,0.07,2411,25.23,3.32,3,8.42,""
"134",41,2004,2,2004-02-12,"AQUE",15,2,7.26,0.5,0.07,2119,24.37,3.13,2.99,8.15,""
"135",43,2004,3,2004-03-08,"ABUR",15,1,6.01,0.51,0.08,2350,25.76,3.46,2.44,10.58,""
"136",43,2004,3,2004-03-08,"ABUR",15,2,6.01,0.51,0.08,2235,25.63,3.69,2.42,10.58,""
"137",45,2004,3,2004-03-10,"MOHK",15,1,3.39,0.32,0.09,2633,26.16,3.72,2.05,12.78,""
"138",45,2004,3,2004-03-10,"MOHK",15,2,3.39,0.32,0.09,2234,25.49,3.61,1.91,13.33,""
"139",44,2004,3,2004-03-12,"AQUE",15,1,6.3,0.39,0.06,2411,25.76,3.71,2.43,10.63,""
"140",44,2004,3,2004-03-12,"AQUE",15,2,6.3,0.39,0.06,2033,27.55,3.92,2.09,13.17,""
"141",48,2004,4,2004-04-05,"MOHK",15,1,4.3,0.32,0.07,2303,28.4,4.28,1.48,19.22,""
"142",48,2004,4,2004-04-05,"MOHK",15,2,4.3,0.32,0.07,2232,28.16,4.21,1.45,19.43,""
"143",47,2004,4,2004-04-07,"AQUE",15,1,3.46,0.41,0.12,2496,29.85,4.5,1.62,18.45,""
"144",47,2004,4,2004-04-07,"AQUE",15,2,3.46,0.41,0.12,2283,30.23,4.57,1.61,18.8,""
"145",46,2004,4,2004-04-12,"ABUR",15,1,4.65,0.42,0.09,2502,24.91,3.51,2.19,11.36,""
"146",46,2004,4,2004-04-12,"ABUR",15,2,4.65,0.42,0.09,2282,25.15,3.51,2.16,11.67,""
"147",50,2004,5,2004-05-07,"AQUE",15,1,6.7,0.59,0.09,2185,27.94,3.99,2.18,12.81,""
"148",50,2004,5,2004-05-07,"AQUE",15,2,6.7,0.59,0.09,2285,28.04,4,2.17,12.9,""
"149",51,2004,5,2004-05-15,"MOHK",15,1,6.08,0.48,0.08,2280,25.85,3.51,2.39,10.8,""
"150",51,2004,5,2004-05-15,"MOHK",15,2,6.08,0.48,0.08,2056,25.94,3.49,2.38,10.89,""
"151",49,2004,5,2004-05-19,"ABUR",15,1,5.16,0.39,0.07,2417,26.74,3.72,2.81,9.5,""
"152",49,2004,5,2004-05-19,"ABUR",15,2,5.16,0.39,0.07,2425,27.06,3.72,2.85,9.49,""
"153",54,2004,6,2004-06-02,"MOHK",15,1,5.31,0.48,0.09,2486,29.74,4.3,1.68,17.73,""
"154",54,2004,6,2004-06-02,"MOHK",15,2,5.31,0.48,0.09,2042,30.31,4.28,1.79,16.92,""
"155",52,2004,6,2004-06-16,"ABUR",15,1,3.74,0.28,0.07,2429,28.14,3.82,3.07,9.16,""
"156",52,2004,6,2004-06-16,"ABUR",15,2,3.74,0.28,0.07,2085,28.19,3.82,3.08,9.14,""
"157",53,2004,6,2004-06-21,"AQUE",15,1,3.18,0.25,0.08,2376,31.62,4.15,3.46,9.13,""
"158",53,2004,6,2004-06-21,"AQUE",15,2,3.18,0.25,0.08,2157,30.08,3.94,3.24,9.28,""
"159",56,2004,7,2004-07-07,"AQUE",15,1,4.02,0.41,0.1,2504,32.74,4.69,2.27,14.44,""
"160",56,2004,7,2004-07-07,"AQUE",15,2,4.02,0.41,0.1,2194,32.85,4.71,2.23,14.76,""
"161",57,2004,7,2004-07-09,"MOHK",15,1,3.89,0.31,0.08,2078,28.34,3.8,2.72,10.43,""
"162",57,2004,7,2004-07-09,"MOHK",15,2,3.89,0.31,0.08,2187,25.42,3.41,2.36,10.77,""
"163",55,2004,7,2004-07-16,"ABUR",15,1,3.84,0.28,0.07,2558,27.47,3.81,2.22,12.37,""
"164",55,2004,7,2004-07-16,"ABUR",15,2,3.84,0.28,0.07,2452,28.84,3.98,2.28,12.66,""
"165",59,2004,8,2004-08-03,"AQUE",15,1,5.65,0.58,0.1,2482,34.23,5.16,2.82,12.14,""
"166",59,2004,8,2004-08-03,"AQUE",15,2,5.65,0.58,0.1,2454,34.28,5.19,2.75,12.45,""
"167",58,2004,8,2004-08-05,"ABUR",15,1,4.37,0.37,0.08,2221,31.91,4.62,2,15.97,""
"168",58,2004,8,2004-08-05,"ABUR",15,2,4.37,0.37,0.08,2497,31.94,4.66,1.99,16.08,""
"169",60,2004,8,2004-08-06,"MOHK",15,1,5.01,0.58,0.11,2309,30.16,4.37,2.04,14.77,""
"170",60,2004,8,2004-08-06,"MOHK",15,2,5.01,0.58,0.11,2120,30.43,4.33,2.16,14.06,""
"171",62,2004,9,2004-09-01,"AQUE",15,1,6.92,0.73,0.11,2282,30.75,4.41,2.36,13.04,""
"172",62,2004,9,2004-09-01,"AQUE",15,2,6.92,0.73,0.11,2332,31.12,4.44,2.28,13.64,""
"173",63,2004,9,2004-09-02,"MOHK",15,1,6.97,0.75,0.11,2124,30.96,4.4,2.01,15.43,""
"174",63,2004,9,2004-09-02,"MOHK",15,2,6.97,0.75,0.11,2555,30.98,4.44,1.99,15.6,""
"175",61,2004,9,2004-09-07,"ABUR",15,1,4.3,0.55,0.13,2175,31.17,4.62,1.29,24.19,""
"176",61,2004,9,2004-09-07,"ABUR",15,2,4.3,0.55,0.13,2386,31.17,4.64,1.41,22.17,""
"177",65,2004,10,2004-10-06,"AQUE",15,1,7.75,0.99,0.13,2120,30.34,4.41,1.27,23.96,""
"178",65,2004,10,2004-10-06,"AQUE",15,2,7.75,0.99,0.13,2352,30.41,4.43,1.28,23.83,""
"179",64,2004,10,2004-10-07,"ABUR",15,1,5.48,0.61,0.11,2154,28.67,3.96,1.75,16.34,""
"180",64,2004,10,2004-10-07,"ABUR",15,2,5.48,0.61,0.11,2519,30.28,4.24,1.93,15.69,""
"181",66,2004,10,2004-10-14,"MOHK",15,1,7.5,0.91,0.12,2216,31.53,4.68,1.96,16.08,""
"182",66,2004,10,2004-10-14,"MOHK",15,2,7.5,0.91,0.12,2028,32.21,4.7,1.97,16.37,""
"183",68,2004,11,2004-11-03,"AQUE",15,1,5.88,0.64,0.11,2146,29.22,4.13,1.8,16.24,""
"184",68,2004,11,2004-11-03,"AQUE",15,2,5.88,0.64,0.11,2571,29.12,4.15,1.8,16.14,""
"185",69,2004,11,2004-11-04,"MOHK",9,1,4.52,0.46,0.1,2475,28.29,3.88,2.01,14.1,""
"186",69,2004,11,2004-11-04,"MOHK",9,2,4.52,0.46,0.1,2322,28.13,3.8,1.81,15.59,""
"187",67,2004,11,2004-11-10,"ABUR",15,1,6.46,0.65,0.1,2152,29.36,4.22,1.14,25.68,""
"188",67,2004,11,2004-11-10,"ABUR",15,2,6.46,0.65,0.1,2440,30.27,4.4,1.24,24.41,""
"189",71,2004,12,2004-12-01,"AQUE",15,1,6.78,0.7,0.1,2265,27.72,3.97,1.65,16.77,""
"190",71,2004,12,2004-12-01,"AQUE",15,2,6.78,0.7,0.1,2415,26.96,3.85,1.61,16.73,""
"191",72,2004,12,2004-12-02,"MOHK",15,1,9.45,0.89,0.09,2328,27.79,4.12,1.69,16.41,""
"192",72,2004,12,2004-12-02,"MOHK",15,2,9.45,0.89,0.09,2480,27.31,4,1.85,14.74,""
"193",70,2004,12,2004-12-03,"ABUR",15,1,6.37,0.71,0.11,2135,30.17,4.62,1.73,17.43,""
"194",70,2004,12,2004-12-03,"ABUR",15,2,6.37,0.71,0.11,2048,30.67,4.69,1.79,17.17,""
"201",74,2005,2,2005-02-07,"MOHK",15,1,6.48,0.75,0.12,2236,29.71,4.43,2.11,14.08,""
"202",74,2005,2,2005-02-07,"MOHK",15,2,6.48,0.75,0.12,2365,31.29,4.75,2.11,14.84,""
"203",75,2005,2,2005-02-08,"ABUR",15,1,7.34,0.72,0.1,2120,22.25,3.2,1.38,16.09,""
"204",75,2005,2,2005-02-08,"ABUR",15,2,7.34,0.72,0.1,2285,26.89,3.93,1.72,15.64,""
"205",76,2005,2,2005-02-09,"AQUE",15,1,0.4,0.04,0.1,2267,25.5,3.61,2,12.75,"used average of individual plants"
"206",76,2005,2,2005-02-09,"AQUE",15,2,0.4,0.04,0.1,2315,26.12,3.7,2.04,12.82,"used average of individual plants"
"207",77,2005,3,2005-03-14,"AQUE",15,1,7.7,0.67,0.09,2200,26.15,3.32,2.01,13.01,""
"208",77,2005,3,2005-03-14,"AQUE",15,2,7.7,0.67,0.09,2399,26.03,3.47,2.03,12.85,""
"209",78,2005,3,2005-03-16,"MOHK",15,1,5.07,0.53,0.1,2014,25.96,3.42,1.63,15.89,""
"210",78,2005,3,2005-03-16,"MOHK",15,2,5.07,0.53,0.1,2495,26.18,3.47,1.74,15.07,""
"211",79,2005,3,2005-03-17,"ABUR",15,1,5.7,0.64,0.11,2230,28.42,3.97,1.61,17.69,""
"212",79,2005,3,2005-03-17,"ABUR",15,2,5.7,0.64,0.11,2173,29,4.07,1.61,18.02,""
"213",80,2005,4,2005-04-18,"MOHK",15,1,5.84,0.56,0.1,2209,25.74,3.44,2.95,8.74,""
"214",80,2005,4,2005-04-18,"MOHK",15,2,5.84,0.56,0.1,2129,26.14,3.45,2.95,8.87,""
"215",81,2005,4,2005-04-19,"AQUE",15,1,7.91,0.8,0.1,2447,27.4,3.81,3.39,8.09,""
"216",81,2005,4,2005-04-19,"AQUE",15,2,7.91,0.8,0.1,2231,28.66,4,3.43,8.36,""
"217",82,2005,4,2005-04-20,"ABUR",15,1,6.78,0.81,0.12,2142,30.74,4.6,2.76,11.14,""
"218",82,2005,4,2005-04-20,"ABUR",15,2,6.78,0.81,0.12,2216,31.06,4.73,2.79,11.14,""
"219",83,2005,5,2005-05-09,"MOHK",15,1,6.91,0.82,0.12,2302,28.7,4.08,3.41,8.41,""
"220",83,2005,5,2005-05-09,"MOHK",15,2,6.91,0.82,0.12,2179,29.65,4.17,3.38,8.77,""
"221",84,2005,5,2005-05-10,"ABUR",15,1,5.27,0.58,0.11,2245,28.05,3.93,3.5,8.02,""
"222",84,2005,5,2005-05-10,"ABUR",15,2,5.27,0.58,0.11,2406,28.95,4.09,3.47,8.34,""
"223",85,2005,5,2005-05-12,"AQUE",15,1,6.11,0.64,0.1,2276,28.59,3.97,3.44,8.3,""
"224",85,2005,5,2005-05-12,"AQUE",15,2,6.11,0.64,0.1,2278,27.79,3.87,3.39,8.19,""
"225",86,2005,6,2005-06-06,"MOHK",15,1,8.53,0.92,0.11,2083,27.94,3.87,2.8,9.98,""
"226",86,2005,6,2005-06-06,"MOHK",15,2,8.53,0.92,0.11,2232,27.9,3.88,2.79,9.99,""
"227",89,2005,6,2005-06-08,"AQUE",15,1,7.77,0.8,0.1,2319,28.34,3.97,3.75,7.56,""
"228",89,2005,6,2005-06-08,"AQUE",15,2,7.77,0.8,0.1,2125,28.38,3.98,3.68,7.71,""
"229",90,2005,6,2005-06-09,"ABUR",15,1,6.94,0.64,0.09,2227,26.88,3.64,3.44,7.82,""
"230",90,2005,6,2005-06-09,"ABUR",15,2,6.94,0.64,0.09,2086,26.99,3.66,3.45,7.83,""
"231",91,2005,7,2005-07-01,"MOHK",15,1,9.16,0.86,0.09,2287,29.16,3.99,2.61,11.18,""
"232",91,2005,7,2005-07-01,"MOHK",15,2,9.16,0.86,0.09,2350,28.19,3.86,2.51,11.25,""
"233",92,2005,7,2005-07-05,"ABUR",15,1,8.43,0.72,0.09,2060,26.82,3.61,2.91,9.23,""
"234",92,2005,7,2005-07-05,"ABUR",15,2,8.43,0.72,0.09,2299,27.04,3.66,2.91,9.28,""
"235",93,2005,7,2005-07-06,"AQUE",15,1,8.04,0.82,0.1,2235,27.79,3.82,3.23,8.61,""
"236",93,2005,7,2005-07-06,"AQUE",15,2,8.04,0.82,0.1,2192,27.75,3.8,3.33,8.33,""
"237",94,2005,8,2005-08-02,"AQUE",15,1,8.39,0.88,0.1,2406,27.8,3.81,2.52,11.04,""
"238",94,2005,8,2005-08-02,"AQUE",15,2,8.39,0.88,0.1,2410,27.18,3.75,2.51,10.85,""
"239",95,2005,8,2005-08-04,"MOHK",15,1,8.15,0.79,0.1,2440,27.61,3.75,2.78,9.95,""
"240",95,2005,8,2005-08-04,"MOHK",15,2,8.15,0.79,0.1,2064,27.82,3.75,2.69,10.33,""
"241",96,2005,8,2005-08-08,"ABUR",15,1,8.88,0.96,0.11,2425,27.8,3.86,2.05,13.59,"datasheet missing"
